,epoch,Train_Loss,Valid_Loss,Valid_jaccard,Valid_dice,model_file
0,1,0.6879420212336949,6.7285698254903155,0.11252745240926743,0.18646833300590515,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-1-8.pth
1,2,0.6734765457255499,0.3737359460857179,0.0018972934922203422,0.0036082081496715546,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-2-8.pth
2,3,0.312257650920323,0.30929500857988995,0.009073265828192234,0.017327923327684402,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-3-8.pth
3,4,0.31144484196390426,0.3299913555383682,0.0045477584935724735,0.008837161585688591,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-4-8.pth
4,5,0.2988493885312762,0.3081299712260564,0.002584536327049136,0.0050827506929636,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-5-8.pth
5,6,0.3013937324285507,0.3028162386682298,0.0016613757470622659,0.0032880224753171206,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-6-8.pth
6,7,0.28529220266001565,0.2906515465842353,0.004622375592589378,0.008984402753412724,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-7-8.pth
7,8,0.2834806191069739,0.2874283343553543,0.0033324486576020718,0.006493582855910063,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-8-8.pth
8,9,0.27919683286121916,0.27877313560909694,0.005532215815037489,0.010803277604281902,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-9-8.pth
9,10,0.27406821804387227,0.2993784149487813,0.0015159368049353361,0.002970504341647029,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-10-8.pth
10,11,0.2685053280421666,0.27778463065624237,0.00818822905421257,0.015567464753985405,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-11-8.pth
11,12,0.26374714161668505,0.27770544754134285,0.003258208744227886,0.006423375569283962,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-12-8.pth
12,13,0.2657790618283408,0.27062667078442043,0.0076730442233383656,0.014473769813776016,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-13-8.pth
13,14,0.25902083601270404,0.26338018311394584,0.01358627900481224,0.02481333166360855,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-14-8.pth
14,15,0.2604507224900382,0.27033105823728776,0.011622474528849125,0.02043302170932293,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-15-8.pth
15,16,0.25915221571922303,0.2772845145728853,0.019481858238577843,0.034042514860630035,./model_weights_effunetb0_no_sch_orgsize_bin_class/effnetb0_unet-0.0001-No-16-8.pth
